D,T,C
19/09/05,12:40:23,6.806710599999999
19/09/05,12:40:24,7.138287299999999
19/09/05,12:40:25,7.287724399999999
19/09/05,12:40:26,8.2260473
19/09/05,12:40:27,8.0969125
19/09/05,12:40:28,7.5582711
19/09/05,12:40:29,7.734544800000001
19/09/05,12:40:30,7.902987200000001
19/09/05,12:40:31,7.899113700000002
19/09/05,12:40:32,6.389688099999998
19/09/05,12:40:33,6.6812144
19/09/05,12:40:34,6.755284799999999
19/09/05,12:40:35,8.844332999999999
19/09/05,12:40:36,7.4274521
19/09/05,12:40:37,6.508402299999999
19/09/05,12:40:38,7.9747098
19/09/05,12:40:39,6.9743107
19/09/05,12:40:40,7.371389999999999
19/09/05,12:40:41,8.1372028
19/09/05,12:40:42,8.408698000000001
19/09/05,12:40:43,7.918642200000001
19/09/05,12:40:44,6.2952468
19/09/05,12:40:45,9.7061325
19/09/05,12:40:46,7.6669614
19/09/05,12:40:47,7.7410035
19/09/05,12:40:48,7.795166
19/09/05,12:40:49,6.1731976
19/09/05,12:40:50,7.8206392
19/09/05,12:40:51,5.7062526
19/09/05,12:40:52,4.8339621
19/09/05,12:40:53,5.787740100000001
19/09/05,12:40:54,4.0402788
19/09/05,12:40:55,5.703727
19/09/05,12:40:56,7.455008900000003
19/09/05,12:40:57,7.9250242
19/09/05,12:40:58,4.219884100000001
19/09/05,12:40:59,4.752678
19/09/05,12:41:00,3.5143371
19/09/05,12:41:01,5.377111400000001
19/09/05,12:41:02,6.1930844999999985
19/09/05,12:41:03,5.6271102000000015
19/09/05,12:41:04,4.2263316
19/09/05,12:41:05,5.335794099999999
19/09/05,12:41:06,4.8140623
19/09/05,12:41:07,4.336653399999999
19/09/05,12:41:08,4.082705600000001
19/09/05,12:41:09,5.228351
19/09/05,12:41:10,6.9600786999999995
19/09/05,12:41:11,4.071141399999999
19/09/05,12:41:12,5.914550800000001
19/09/05,12:41:13,6.1792576
19/09/05,12:41:14,7.3721678
19/09/05,12:41:15,6.5855952
19/09/05,12:41:16,5.2543124
19/09/05,12:41:17,5.177107000000001
19/09/05,12:41:18,5.072327099999999
19/09/05,12:41:19,4.696166700000001
19/09/05,12:41:20,5.7924923
19/09/05,12:41:21,7.711691299999999
19/09/05,12:41:22,4.0839976
19/09/05,12:41:23,3.645873500000001
19/09/05,12:41:24,4.134479799999999
19/09/05,12:41:25,4.0988195
19/09/05,12:41:26,5.1915550999999995
19/09/05,12:41:27,7.909074300000001
19/09/05,12:41:28,5.662403000000001
19/09/05,12:41:29,5.612427
19/09/05,12:41:30,5.5357747999999996
19/09/05,12:41:31,5.422362200000001
19/09/05,12:41:32,3.985203700000001
19/09/05,12:41:33,4.5079996
19/09/05,12:41:34,5.2456653
19/09/05,12:41:35,4.8916964
19/09/05,12:41:36,7.009114500000001
19/09/05,12:41:37,5.8532145
19/09/05,12:41:38,5.611979100000001
19/09/05,12:41:39,4.1683649
19/09/05,12:41:40,4.3992342
19/09/05,12:41:41,6.110478400000002
19/09/05,12:41:42,5.7978122999999995
19/09/05,12:41:43,5.475834599999998
19/09/05,12:41:44,5.420634
19/09/05,12:41:45,6.295490799999999
19/09/05,12:41:46,4.2072476
19/09/05,12:41:47,3.7577689000000003
19/09/05,12:41:48,4.350063199999999
19/09/05,12:41:49,5.202592300000001
19/09/05,12:41:50,4.8618712
19/09/05,12:41:51,5.305891900000001
19/09/05,12:41:52,8.193418900000001
19/09/05,12:41:53,5.468436699999999
19/09/05,12:41:54,8.0268082
19/09/05,12:41:55,7.655022199999999
19/09/05,12:41:56,7.819169800000002
19/09/05,12:41:57,6.3244704
19/09/05,12:41:58,4.1140023
19/09/05,12:41:59,4.915562199999999
19/09/05,12:42:00,5.628414799999999
19/09/05,12:42:01,6.1194855
19/09/05,12:42:02,6.493948
19/09/05,12:42:03,7.984075899999999
19/09/05,12:42:04,8.0080844
19/09/05,12:42:05,7.198946800000001
19/09/05,12:42:06,7.964294500000001
19/09/05,12:42:07,7.8327670000000005
19/09/05,12:42:08,7.484592499999999
19/09/05,12:42:09,7.4621125
19/09/05,12:42:10,5.835771000000001
19/09/05,12:42:11,5.2541741
19/09/05,12:42:12,4.7873717
19/09/05,12:42:13,6.6073951
19/09/05,12:42:14,6.694988499999998
19/09/05,12:42:15,5.3957709
19/09/05,12:42:16,8.077012200000002
19/09/05,12:42:17,5.887264
19/09/05,12:42:18,8.041635000000001
19/09/05,12:42:19,7.1990444
19/09/05,12:42:20,7.702286699999998
19/09/05,12:42:21,6.388732199999998
19/09/05,12:42:22,6.1437086
19/09/05,12:42:23,14.9817657
19/09/05,12:42:24,5.0637916999999995
19/09/05,12:42:25,6.929349299999999
19/09/05,12:42:26,5.6764777
19/09/05,12:42:27,5.6932397
19/09/05,12:42:28,5.401195599999999
19/09/05,12:42:29,6.3374983
19/09/05,12:42:30,6.2478903
19/09/05,12:42:31,5.656681299999999
19/09/05,12:42:32,8.183653800000002
19/09/05,12:42:33,5.0191566
19/09/05,12:42:34,6.4378797
19/09/05,12:42:35,5.873317400000001
19/09/05,12:42:36,5.4987065
19/09/05,12:42:37,5.442968199999999
19/09/05,12:42:38,5.7364975
19/09/05,12:42:39,6.6235629000000005
19/09/05,12:42:40,5.4021642
19/09/05,12:42:41,5.959881800000001
19/09/05,12:42:42,6.433088999999999
19/09/05,12:42:43,6.422908899999999
